timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
161622876,0.345858,0.443318,0.0682751
161631724,0.347748,0.431113,0.0693427
161642876,0.368455,0.425585,0.0767143
161651716,0.3347,0.429313,0.0711313
161662876,0.344222,0.455003,0.0799958
161671676,0.331155,0.428923,0.0807971
161682884,0.344017,0.43805,0.0696993
161691676,0.325328,0.431113,0.0697895
161702883,0.340142,0.424436,0.0628153
161711677,0.331091,0.429053,0.0776
161722890,0.344264,0.427124,0.0820644
161731676,0.353195,0.433172,0.0613088
161742890,0.355609,0.43727,0.0886584
161751677,0.336599,0.427514,0.0726221
161762890,0.336463,0.417368,0.0658047
161771722,0.35699,0.426105,0.0641493
161782890,0.353378,0.422376,0.0704769
161791691,0.353392,0.439719,0.0711822
161802891,0.344205,0.434191,0.0791495
161811683,0.344205,0.434191,0.0791495
161831683,0.344205,0.434191,0.0791495
161851677,0.344205,0.434191,0.0791495
161870884,0.336541,0.434581,0.0697071
161880491,0.340593,0.430462,0.0854771
161890884,0.357065,0.439849,0.0679106
161900453,0.357553,0.420122,0.467555
161901286,0.349398,0.436771,0.0583272
161910890,0.357059,0.432912,0.0676285
161920500,0.332926,0.427384,0.0758936
161930890,0.351485,0.431113,0.0692682
161940452,0.345878,0.429378,0.0693094
161941287,0.346038,0.429053,0.0773021
161950890,0.336527,0.417238,0.0690018
161960452,0.353355,0.432847,0.0693015
161961305,0.353323,0.432912,0.067703
161970890,0.336547,0.441519,0.0699892
161980476,0.338379,0.436381,0.0681419
161990890,0.351792,0.416588,0.0846894
162000483,0.351474,0.417238,0.068704
162010884,0.332547,0.431633,0.0568522
162020534,0.338498,0.425715,0.0741129
162030884,0.348006,0.434061,0.0822721
162040496,0.323551,0.425715,0.0744107
162050884,0.343887,0.434842,0.063164
162062103,0.342235,0.425715,0.0740384
162070886,0.334964,0.439199,0.0843429
162081276,0.336599,0.427514,0.0726221
162090888,0.340338,0.430983,0.0726887
162100484,0.344064,0.417108,0.07205
162110852,0.338246,0.429704,0.0614656
162122077,0.334634,0.425975,0.0677932
162130890,0.34237,0.43586,0.0808558
162142077,0.343937,0.417368,0.0656558
162150857,0.342298,0.425585,0.0772355
162162077,0.353126,0.426365,0.0578296
162170852,0.34761,0.417498,0.0623842
162182084,0.357181,0.425715,0.0737406
162190853,0.336486,0.445117,0.0669332
162202083,0.339829,0.432023,0.047112
162210871,0.357176,0.418777,0.0734584
162220531,0.357176,0.418777,0.0734584
162230914,0.357176,0.418777,0.0734584
162240478,0.357176,0.418777,0.0734584
162250926,0.357176,0.418777,0.0734584
162270052,0.353323,0.432912,0.067703
162279730,0.34774,0.420707,0.0689195
162290053,0.334645,0.439849,0.0683574
162299721,0.353245,0.415699,0.0638006
162310052,0.342041,0.422636,0.0643061
162319762,0.330703,0.422896,0.0581353
162330052,0.359013,0.420577,0.0718932
162339721,0.345977,0.432652,0.0742461
162350052,0.362565,0.427904,0.0625096
