timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
571351983,0.258949,0.0152979,0.0739488
571554994,0.302249,0.0183878,0.0771227
571759255,0.292335,0.0153777,0.0746645
571961735,0.294995,0.0170231,0.0734825
572161629,0.309361,0.0175241,0.0738809
572362258,0.285965,0.0175317,0.0740067
572564038,0.287631,0.0171199,0.077873
572764030,0.270117,0.0160133,0.0697626
572968613,0.293532,0.0172908,0.0663002
573172998,0.27964,0.0165212,0.0749856
573372759,0.262595,0.0160786,0.0757309
573578250,0.263225,0.0144316,0.0773631
573778184,0.291496,0.0164094,0.0735284
573983248,0.254974,0.0162895,0.0738858
574186974,0.289255,0.0162066,0.0785079
574387025,0.262651,0.0162252,0.0763955
574587850,0.274262,0.016715,0.0757276
574792581,0.25161,0.0180857,0.077869
574992656,0.300908,0.0178754,0.0707321
575192654,0.254658,0.017282,0.0774905
575397637,0.264083,0.0167709,0.0783342
575600651,0.270909,0.0144742,0.0766207
575805396,0.266341,0.0166379,0.0757249
576006757,0.305537,0.017877,0.0795571
576210257,0.276863,0.0152082,0.0803563
576410372,0.299574,0.0168338,0.0788172
576612602,0.283565,0.0150686,0.075745
576812584,0.273473,0.0147131,0.0759999
577013353,0.284744,0.0154373,0.0739675
577218233,0.299898,0.0159227,0.0776593
577420123,0.287035,0.0164862,0.0787208
577623802,0.260988,0.0142749,0.0747685
577824620,0.263912,0.0172318,0.0731559
578028812,0.270343,0.0151984,0.072627
578231113,0.285031,0.0178632,0.0772946
578431295,0.272759,0.0158502,0.0670252
578634961,0.251449,0.0144746,0.0722904
578836829,0.287838,0.0174862,0.0778907
579040628,0.25081,0.0149509,0.0732389
579242146,0.289579,0.0137605,0.0692537
579442205,0.272189,0.0173927,0.0712141
579648864,0.276693,0.0164025,0.067909
579848569,0.253876,0.0156482,0.0537031
580053021,0.250736,0.016776,0.0715547
580253431,0.277694,0.0173709,0.0757207
580454187,0.285508,0.0186059,0.0767473
580659283,0.300902,0.0167518,0.0768007
580859382,0.277642,0.0163491,0.0779553
581058716,0.288808,0.0160091,0.0851046
581262215,0.290858,0.0155468,0.0786005
581466395,0.321958,0.0168364,0.0743073
581670306,0.273765,0.0146232,0.0840132
581871736,0.284532,0.0168907,0.0811226
582077637,0.25753,0.0175682,0.0794952
582279483,0.27357,0.0166101,0.0851309
582480173,0.300978,0.0171575,0.082883
582680311,0.28096,0.0163101,0.0830968
582882193,0.275046,0.0173972,0.0802215
583087065,0.256848,0.0169977,0.0801088
583291037,0.279886,0.0166375,0.0762617
583493402,0.285786,0.0173413,0.078675
583693050,0.287046,0.0170347,0.0761869
583893033,0.266647,0.0169581,0.0749216
584099918,0.285501,0.0169284,0.0701661
584300038,0.271003,0.0172628,0.073726
584499288,0.269753,0.0167657,0.0746824
584703056,0.279058,0.0159233,0.0802432
584908227,0.266589,0.015525,0.0794218
585108819,0.303646,0.0157887,0.0760563
585308635,0.300558,0.0163657,0.0754038
585514215,0.312838,0.0159398,0.0718615
585714446,0.276957,0.0163007,0.0712825
585918181,0.256717,0.0173626,0.0741424
586122490,0.287705,0.016533,0.0702583
586324734,0.258906,0.0143398,0.0806394
586527837,0.266851,0.0172562,0.0746018
586728680,0.298261,0.0150121,0.0857297
586935031,0.323726,0.0162578,0.0732776
587134628,0.277373,0.0147919,0.071413
587338164,0.274593,0.0160003,0.0768624
587542472,0.297545,0.0165312,0.0766746
587746203,0.303789,0.0174346,0.0799082
587946964,0.275616,0.0140812,0.0794217
588149477,0.297671,0.016241,0.0742282
588349756,0.293639,0.016021,0.0746055
588553362,0.257232,0.0167574,0.072675
588755271,0.273174,0.0167481,0.0776481
588955307,0.272753,0.0160556,0.0808676
589158506,0.258748,0.0179213,0.0829651
589361935,0.268307,0.0167148,0.0851737
589566461,0.261561,0.015173,0.0772857
589766967,0.296004,0.0135541,0.0730122
589966506,0.270576,0.014482,0.075542
590170257,0.276498,0.0148428,0.083236
590374735,0.290929,0.0162574,0.0812972
590575859,0.316589,0.0165687,0.0803427
590780106,0.286052,0.0140769,0.0802487
590983776,0.286273,0.0149556,0.0747921
591185360,0.295801,0.0161798,0.0763061
591387020,0.276113,0.0167691,0.064812
591587032,0.28208,0.0150927,0.0726577
591791217,0.289135,0.0163803,0.0692259
591993376,0.270668,0.016619,0.0741309
592198209,0.288419,0.0160973,0.0778094
592401445,0.288186,0.0166225,0.0761698
592601362,0.296346,0.0175411,0.0736381
592805661,0.254567,0.0172367,0.0731102
593009480,0.252236,0.0162766,0.0695253
593214369,0.302824,0.0155743,0.071661
593414946,0.314411,0.0178248,0.0789302
593619867,0.287217,0.0164378,0.0714314
593822955,0.298342,0.0153079,0.0751154
594023051,0.293412,0.0154499,0.0753567
594226282,0.26836,0.0163267,0.0735124
594426242,0.274344,0.0159752,0.083114
594629374,0.259718,0.0172711,0.0753787
594833872,0.267623,0.0141504,0.0747023
595036254,0.282457,0.0157078,0.08315
595239821,0.264885,0.0157576,0.0758132
595439846,0.294365,0.0137564,0.0757494
595639810,0.273553,0.0174654,0.076434
595844528,0.27761,0.0169448,0.0801265
596047834,0.272916,0.0164218,0.081964
596251124,0.293065,0.0166473,0.0749935
596454141,0.267741,0.0173172,0.0739131
596655018,0.25624,0.0166728,0.0765768
596859248,0.255644,0.0152509,0.0768236
597060928,0.272442,0.0173666,0.0788648
597264553,0.31013,0.0164465,0.0787806
597470082,0.277129,0.0154901,0.078146
597669909,0.286294,0.01654,0.074849
597873378,0.270674,0.014998,0.0771288
598075023,0.288183,0.0168724,0.0754926
598274981,0.279586,0.0162965,0.0796901
598480054,0.311948,0.0170358,0.0769661
598683785,0.27349,0.0162708,0.0717945
598885676,0.255657,0.0182436,0.07822
599086976,0.320987,0.0178392,0.0717002
599289038,0.289908,0.0169855,0.0734226
599492355,0.272813,0.0147883,0.0732941
599692680,0.279654,0.015835,0.0728861
599897861,0.305221,0.016886,0.0745762
600099254,0.327513,0.0155046,0.0730628
600302968,0.272782,0.0161048,0.073908
600507279,0.2576,0.015817,0.0696769
600710274,0.326256,0.0157195,0.0800836
600911216,0.288733,0.0150593,0.0753927
601116959,0.303038,0.0156515,0.0770778
601317446,0.279508,0.015474,0.0800689
601520652,0.279354,0.0176558,0.0754049
601725673,0.254792,0.015012,0.0781715
601928533,0.283442,0.0147458,0.0762748
602128568,0.274301,0.0150455,0.0771091
602333631,0.288344,0.0153378,0.0796826
602535244,0.274184,0.0165463,0.0807917
602739851,0.281441,0.0165702,0.0737672
602944212,0.271568,0.0149957,0.079177
603146522,0.278679,0.0147917,0.0763062
603349497,0.264896,0.0156721,0.0796082
603550357,0.278559,0.0153076,0.0758446
603752648,0.279768,0.0166282,0.0772672
603955060,0.267948,0.0173257,0.0784846
604156632,0.279272,0.0146307,0.0772372
604360664,0.298429,0.0150163,0.0758638
604565605,0.258119,0.0156223,0.0786216
604765816,0.304918,0.0173283,0.0802629
604968578,0.273668,0.0160842,0.0775341
605170217,0.274526,0.0155652,0.0695151
605375200,0.308967,0.0157622,0.0749936
605579068,0.280664,0.0167693,0.0745108
605781143,0.286155,0.014501,0.074379
605984358,0.262706,0.0157793,0.0697632
606189933,0.284024,0.0151804,0.0754522
606389131,0.313323,0.0165113,0.0721536
606591006,0.292032,0.015417,0.0644241
606790918,0.300002,0.0160463,0.0671123
606995179,0.291246,0.0174488,0.0730867
607196045,0.292381,0.015801,0.0777847
607396619,0.272485,0.0150453,0.0742975
607597699,0.278882,0.0168493,0.0730723
607797722,0.294887,0.015843,0.0720584
607998225,0.26567,0.0157779,0.0746588
608202964,0.30355,0.0167779,0.073387
608403832,0.295523,0.0165873,0.0807392
608603822,0.263465,0.0165998,0.0760186
608809439,0.290365,0.0161145,0.0814343
609009957,0.289235,0.016385,0.0803194
609212061,0.254401,0.0171516,0.0726113
609415058,0.277259,0.0169063,0.0783326
609615110,0.260145,0.015029,0.0781395
609815818,0.272894,0.0167836,0.0789383
610018249,0.281975,0.0154575,0.0791655
610223123,0.307441,0.0180183,0.0799559
610425398,0.280154,0.0164048,0.0780393
610628599,0.279885,0.016073,0.0799384
610832343,0.272299,0.0143101,0.0722694
611035798,0.306677,0.0171637,0.0774264
611235744,0.301268,0.0162676,0.0761433
611440658,0.310937,0.0154321,0.0785963
611643789,0.278894,0.0163297,0.0731425
611848597,0.277848,0.0152757,0.0756103
612049726,0.319206,0.0162177,0.0697248
612250486,0.285467,0.0156491,0.0753887
612450615,0.278,0.015813,0.0699561
612653653,0.316836,0.0175152,0.0696876
612857465,0.306416,0.0172635,0.0650809
613062324,0.278513,0.015474,0.0732061
613265354,0.309161,0.0163765,0.0637312
613468026,0.284199,0.0166326,0.0719007
613671090,0.289482,0.0152689,0.0772359
613873405,0.271559,0.0163533,0.074776
614075495,0.254345,0.0176707,0.0736529
614278232,0.288097,0.0148288,0.0712565
614483213,0.292572,0.0158209,0.0739481
614686324,0.272463,0.015506,0.0780001
614886113,0.291101,0.0163367,0.0767227
615090502,0.285252,0.0161283,0.0790573
615292119,0.257054,0.0161462,0.0830385
615492064,0.267859,0.0154868,0.0706266
615697391,0.268041,0.0156393,0.0648471
615900719,0.275499,0.0159244,0.0807043
616102204,0.293566,0.0181271,0.0757335
616306950,0.290736,0.0151944,0.0810772
616507986,0.265203,0.0189837,0.079871
616709734,0.272308,0.0173159,0.0759375
616912544,0.287799,0.0179159,0.0810815
617112632,0.278131,0.0148622,0.0788808
617317020,0.30662,0.0171826,0.0816851
