timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
15210606,-0.00158035,0.00225545,-0.000554288,0.691923,0.71255,0.0741507,0.0895292,1.0,0.0,0.0,0.0,0
15242565,-0.0014237,0.00390071,6.01271e-05,0.691927,0.712558,0.0741007,0.0894802,1.0,0.0,0.0,0.0,0
15274464,0.000931763,0.0028276,0.00230902,0.691924,0.712574,0.0740461,0.0894255,1.0,0.0,0.0,0.0,0
15307377,0.000399291,0.00339628,-0.00192479,0.691933,0.712579,0.073984,0.0893647,1.0,0.0,0.0,0.0,0
15335277,-0.000196347,0.000349468,0.00053656,0.691933,0.712594,0.0739249,0.0892972,1.0,0.0,0.0,0.0,0
15367341,0.000186465,0.00175864,-0.00111244,0.691944,0.712601,0.0738338,0.0892287,1.0,0.0,0.0,0.0,0
15399320,0.00158085,0.000765367,-0.000750708,0.691956,0.712613,0.0737384,0.0891227,1.0,0.0,0.0,0.0,0
15431337,0.000522902,0.00127322,-0.000176762,0.691957,0.712634,0.0736391,0.089031,1.0,0.0,0.0,0.0,0
15463262,0.00350156,0.0021676,-0.000405079,0.69197,0.712644,0.0735388,0.0889279,1.0,0.0,0.0,0.0,0
15496218,0.00201796,0.00205975,-0.000537093,0.69198,0.712656,0.073436,0.0888401,1.0,0.0,0.0,0.0,0
15528160,0.00223204,0.00361703,-0.000515491,0.691988,0.712671,0.0733283,0.0887463,1.0,0.0,0.0,0.0,0
15556206,0.00277668,0.00539695,0.000178759,0.69199,0.712689,0.0732402,0.08866,1.0,0.0,0.0,0.0,0
15588121,0.00213375,0.00236751,6.40387e-05,0.691997,0.712703,0.0731507,0.0885663,1.0,0.0,0.0,0.0,0
15620225,0.000950481,0.00119948,-0.000389288,0.692002,0.71272,0.073038,0.0884799,1.0,0.0,0.0,0.0,0
15652058,0.000186035,0.00033017,-0.000616784,0.692007,0.712735,0.0729435,0.0884002,1.0,0.0,0.0,0.0,0
