timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
408061953,inf,1,0,0,0
409076556,inf,1,0,0,0
410092564,inf,1,0,0,0
411108023,inf,1,0,0,0
412119972,inf,1,0,0,0
413132621,inf,1,0,0,0
414144698,inf,1,0,0,0
415155857,inf,1,0,0,0
416166472,inf,1,0,0,0
417180591,inf,1,0,0,0
418199471,inf,1,0,0,0
419213472,inf,1,0,0,0
420225470,inf,1,0,0,0
421244591,inf,1,0,0,0
422263851,inf,1,0,0,0
423278480,inf,1,0,0,0
424294218,inf,1,0,0,0
425307470,inf,1,0,0,0
426318470,inf,1,0,0,0
427329481,inf,1,0,0,0
428345498,inf,1,0,0,0
429365516,inf,1,0,0,0
430371535,inf,1,0,0,0
431385481,inf,1,0,0,0
432386520,inf,1,0,0,0
433402481,inf,1,0,0,0
434420761,inf,1,0,0,0
435431870,inf,1,0,0,0
436437474,inf,1,0,0,0
437447479,inf,1,0,0,0
438463494,inf,1,0,0,0
439480609,inf,1,0,0,0
440494248,inf,1,0,0,0
441504558,inf,1,0,0,0
442512554,inf,1,0,0,0
443526525,inf,1,0,0,0
444543513,inf,1,0,0,0
445559079,inf,1,0,0,0
446572584,inf,1,0,0,0
447590433,inf,1,0,0,0
448610308,inf,1,0,0,0
449621471,inf,1,0,0,0
450632521,inf,1,0,0,0
451649494,inf,1,0,0,0
452661694,inf,1,0,0,0
453678375,inf,1,0,0,0
454690480,inf,1,0,0,0
455707543,inf,1,0,0,0
456714524,inf,1,0,0,0
457730481,inf,1,0,0,0
458747510,inf,1,0,0,0
459764153,inf,1,0,0,0
460778495,inf,1,0,0,0
461794480,inf,1,0,0,0
462805469,inf,1,0,0,0
463819485,inf,1,0,0,0
464832655,inf,1,0,0,0
465845765,inf,1,0,0,0
466851736,inf,1,0,0,0
467866471,inf,1,0,0,0
468882485,inf,1,0,0,0
469896544,inf,1,0,0,0
470910532,inf,1,0,0,0
471924582,inf,1,0,0,0
472942175,inf,1,0,0,0
473956624,inf,1,0,0,0
474973470,inf,1,0,0,0
475986482,inf,1,0,0,0
477002191,inf,1,0,0,0
478002295,inf,1,0,0,0
479017547,inf,1,0,0,0
480031493,inf,1,0,0,0
481048697,inf,1,0,0,0
482061777,inf,1,0,0,0
483076540,inf,1,0,0,0
484090749,inf,1,0,0,0
485106524,inf,1,0,0,0
486115524,inf,1,0,0,0
487129480,inf,1,0,0,0
488146470,inf,1,0,0,0
489161470,inf,1,0,0,0
490174525,inf,1,0,0,0
491191548,inf,1,0,0,0
492208552,inf,1,0,0,0
493219481,inf,1,0,0,0
494233481,inf,1,0,0,0
495243072,inf,1,0,0,0
496254269,inf,1,0,0,0
497269472,inf,1,0,0,0
498285484,inf,1,0,0,0
499287500,inf,1,0,0,0
500292563,inf,1,0,0,0
501307472,inf,1,0,0,0
502321470,inf,1,0,0,0
503333487,inf,1,0,0,0
504351175,inf,1,0,0,0
505364067,inf,1,0,0,0
506377520,inf,1,0,0,0
507395495,inf,1,0,0,0
508406469,inf,1,0,0,0
509423867,inf,1,0,0,0
510436591,inf,1,0,0,0
511447510,inf,1,0,0,0
512467505,inf,1,0,0,0
513482470,inf,1,0,0,0
514498289,inf,1,0,0,0
515515512,inf,1,0,0,0
516527475,inf,1,0,0,0
517543485,inf,1,0,0,0
518554470,inf,1,0,0,0
519574289,inf,1,0,0,0
520592613,inf,1,0,0,0
521605593,inf,1,0,0,0
522615473,inf,1,0,0,0
523629484,inf,1,0,0,0
524643515,inf,1,0,0,0
